lemmatized,Frequency,Collections
machine learning,164,Consolidated
artificial neural network,111,Consolidated
topology optimization,69,Consolidated
neural network,52,Consolidated
optimization,51,Consolidated
genetic algorithm,48,Consolidated
multi-objective optimization,45,Consolidated
structural optimization,38,Consolidated
artificial intelligence,37,Consolidated
surrogate model,37,Consolidated
additive manufacturing,36,Consolidated
deep learning,36,Consolidated
finite element analysis,30,Consolidated
bayesian optimization,24,Consolidated
finite element method,23,Consolidated
crashworthiness,22,Consolidated
mechanical property,21,Consolidated
composite,18,Consolidated
composite material,18,Consolidated
ann,16,Consolidated
structural design,16,Consolidated
design optimization,15,Consolidated
support vector machine,15,Consolidated
energy absorption,14,Consolidated
kriging,14,Consolidated
reinforcement learning,14,Consolidated
convolutional neural network,14,Consolidated
3d printing,13,Consolidated
gaussian process regression,13,Consolidated
generative design,13,Consolidated
bp neural network,13,Consolidated
buckling,12,Consolidated
deep neural network,12,Consolidated
lattice structure,11,Consolidated
inverse design,11,Consolidated
structure optimization,11,Consolidated
optimal design,11,Consolidated
thin-walled structure,10,Consolidated
lightweight design,10,Consolidated
surrogate modeling,10,Consolidated
structural health monitoring,10,Consolidated
particle swarm optimization,10,Consolidated
optimization design,9,Consolidated
finite element,8,Consolidated
principal component analysis,8,Consolidated
shape optimization,8,Consolidated
artificial neural network (ann),8,Consolidated
design,7,Consolidated
nsga-ii,7,Consolidated
compressive strength,7,Consolidated
sensitivity analysis,7,Consolidated
multiobjective optimization,7,Consolidated
digital twin,7,Consolidated
numerical simulation,7,Consolidated
finite element analysis (fea),7,Consolidated
process parameter,7,Consolidated
data mining,6,Consolidated
physics-informed neural network,6,Consolidated
metamodel,6,Consolidated
lightweight,6,Consolidated
fem,6,Consolidated
fuzzy logic,6,Consolidated
decision tree,6,Consolidated
finite element simulation,6,Consolidated
differential evolution,6,Consolidated
optimization algorithm,6,Consolidated
reliability analysis,6,Consolidated
random forest,6,Consolidated
vibration isolation,5,Consolidated
electric vehicle,5,Consolidated
genetic algorithm (ga),5,Consolidated
cfrp,5,Consolidated
gaussian process,5,Consolidated
fatigue,5,Consolidated
metamodeling,5,Consolidated
tensile strength,5,Consolidated
clustering,5,Consolidated
