keyword,Frequency,Cluster
optimization,284,2
artificial neural network,262,160
machine learning,182,10
topology optimization,96,125
genetic algorithm,90,36
finite element analysis,88,429
composite material,78,51
surrogate model,62,25
structural design,60,511
structure,48,55
additive manufacturing,42,541
artificial intelligence,41,129
deep learning,39,329
crashworthiness,35,221
lightweight design,34,50
alloy design,29,11
gaussian process regression,26,389
optimal design,25,130
mechanical property,21,277
numerical simulation,20,111
printing,20,774
support vector machine,19,272
lattice structure,19,203
compressive strength,18,317
particle swarm optimization,18,231
reinforcement learning,18,531
isogeometric analysis,18,79
ann,17,42
elastic deformation,17,62
kriging,17,289
prediction,16,81
generative design,16,47
laminate,16,228
buckling,16,241
inverse design,16,101
energy absorption,15,598
principal component analysis,15,183
design for manufacturing,15,28
process parameter,14,252
multidisciplinary design optimization,14,106
fatigue,14,78
polymer,14,246
modeling,13,80
model,13,380
structural analysis,13,3
carbon fiber reinforced plastic,13,82
microstructure,13,321
steel,13,114
mechanical design,12,6
svm method,11,37
cylindrical shell,11,31
battery,11,53
energy conservation,11,15
material modelling,11,88
design space exploration,10,112
response surface method,10,86
compressed air energy storage,10,73
metamaterials,10,0
thermal performance,10,99
density,10,32
reliability analysis,10,193
random forest,10,180
computational modeling,10,68
radial basis function,10,215
structural health monitoring,10,437
structural theory,9,56
hybrid method,9,64
regression,9,386
concrete,9,7
sensitivity analysis,9,205
simulation,9,198
system engineering,9,102
differential evolution,9,351
graphene nanoplatelets,9,245
tube,9,208
truss structure,8,158
clustering,8,108
wind turbine,8,229
moving morphable component,8,84
vibration isolation,8,212
electric vehicle,8,54
reduced order model,8,97
dynamic characteristic,7,238
singular value decomposition,7,48
turbine blade,7,248
ensemble learning,7,247
nonproportional loading,7,45
laser cladding,7,8
fatigue life,7,135
digital twin,7,775
embodied carbon,7,156
temperature,7,103
design automation,6,171
design of laminated composite structure,6,279
computational fluid dynamic,6,40
mechanical testing,6,417
laser powder bed fusion,6,384
design of experiment,6,285
decision tree,6,1166
sandwich structure,6,120
surface roughness,6,16
graphical user interface,6,33
data mining,6,734
injection molding,6,355
fem,6,1194
polyurethane foam core,6,240
effective thermal conductivity,6,364
fuzzy logic,6,968
signal monitoring,6,426
origami,6,588
fuzzy clustering,6,4
modal analysis,6,805
simulated annealing,6,149
adaptive sampling,6,59
wear behavior,6,23
pearson correlation coefficient,6,146
functionally graded material,6,136
metamodel,6,619
energy harvesting,5,197
toughness,5,123
predictive analysis,5,319
delamination,5,284
machine tool,5,473
rational design,5,127
composite bridge deck,5,9
error analysis,5,382
k nearest neighbor,5,432
experimental verification,5,142
classification,5,1003
tensile membrane structure,5,5
cfd,5,607
constitutive modeling,5,91
column,5,220
functionally graded thickness,5,192
shell structure,5,243
material design,5,294
design of multiscale system,5,131
residual stress,5,494
micro beam,5,402
hybrid nanocomposites,5,726
reinforced concrete,5,452
uncertainty,5,150
soft computing,5,128
decision making,5,446
fe model updating,5,18
soft robotics,5,271
polyethylene terephthalate,5,140
parameter identification,5,89
industrial,4,76
pattern recognition,4,67
yield stress prediction,4,362
forming limit curve,4,74
multifunctional composite,4,338
shape memory polymer,4,308
damage prediction,4,109
evolution strategy,4,949
imperfection,4,139
layer laminated manufacturing,4,270
multistage machining process,4,94
fea,4,867
deformation behavior,4,138
continuum,4,691
flatwise compression strength,4,21
anisotropy,4,275
continuum inverse kinematics,4,360
homogenization,4,141
control,4,318
deployable composite boom,4,12
aerospace,4,154
ai,4,1053
sustainability,4,892
impact behavior,4,169
flexible electronics,4,98
coupling,4,390
aluminum,4,532
level set method,4,267
deformation prediction,4,566
parametric design optimization,4,469
ensemble,4,144
warpage,4,802
carbon nanotube,4,13
generative adversarial network,4,542
phase change material,4,634
carbon fiber,4,582
piezoelectric sensor,4,191
direct metal deposition,4,200
bead geometry,4,458
magnetic flux,4,19
sequential approximate optimization,4,276
life cycle,4,491
material property,4,22
element,4,95
strength,4,251
train,4,767
transfer learning,4,57
digital manufacturing,4,174
dimension reduction,4,497
glass plastic,4,65
graph neural network,4,448
mechanism design,4,121
thermal resistance,4,75
robot,4,43
high strength steel,4,399
buckling analysis,4,806
ultra high performance concrete,4,90
hierarchical structure,4,398
